"Date","WM2NS"
2023-04-03,20924.5
2023-04-04,20924.5
2023-04-05,20924.5
2023-04-06,20924.5
2023-04-07,20924.5
2023-04-08,20924.5
2023-04-09,20924.5
2023-04-10,21020.6
2023-04-11,21020.6
2023-04-12,21020.6
2023-04-13,21020.6
2023-04-14,21020.6
2023-04-15,21020.6
2023-04-16,21020.6
2023-04-17,20942.2
2023-04-18,20942.2
2023-04-19,20942.2
2023-04-20,20942.2
2023-04-21,20942.2
2023-04-22,20942.2
2023-04-23,20942.2
2023-04-24,20660.3
2023-04-25,20660.3
2023-04-26,20660.3
2023-04-27,20660.3
2023-04-28,20660.3
2023-04-29,20660.3
2023-04-30,20660.3
2023-05-01,20622.3
2023-05-02,20622.3
2023-05-03,20622.3
2023-05-04,20622.3
2023-05-05,20622.3
2023-05-06,20622.3
2023-05-07,20622.3
2023-05-08,20686.5
2023-05-09,20686.5
2023-05-10,20686.5
2023-05-11,20686.5
2023-05-12,20686.5
2023-05-13,20686.5
2023-05-14,20686.5
2023-05-15,20682.3
2023-05-16,20682.3
2023-05-17,20682.3
2023-05-18,20682.3
2023-05-19,20682.3
2023-05-20,20682.3
2023-05-21,20682.3
2023-05-22,20663.1
2023-05-23,20663.1
2023-05-24,20663.1
2023-05-25,20663.1
2023-05-26,20663.1
2023-05-27,20663.1
2023-05-28,20663.1
2023-05-29,20721.7
2023-05-30,20721.7
2023-05-31,20721.7
2023-06-01,20721.7
2023-06-02,20721.7
2023-06-03,20721.7
2023-06-04,20721.7
2023-06-05,20823.8
2023-06-06,20823.8
2023-06-07,20823.8
2023-06-08,20823.8
2023-06-09,20823.8
2023-06-10,20823.8
2023-06-11,20823.8
2023-06-12,20750.2
2023-06-13,20750.2
2023-06-14,20750.2
2023-06-15,20750.2
2023-06-16,20750.2
2023-06-17,20750.2
2023-06-18,20750.2
2023-06-19,20718.2
2023-06-20,20718.2
2023-06-21,20718.2
2023-06-22,20718.2
2023-06-23,20718.2
2023-06-24,20718.2
2023-06-25,20718.2
2023-06-26,20646.5
2023-06-27,20646.5
2023-06-28,20646.5
2023-06-29,20646.5
2023-06-30,20646.5
2023-07-01,20646.5
2023-07-02,20646.5
2023-07-03,20744.8
2023-07-04,20744.8
2023-07-05,20744.8
2023-07-06,20744.8
2023-07-07,20744.8
2023-07-08,20744.8
2023-07-09,20744.8
2023-07-10,20757.4
2023-07-11,20757.4
2023-07-12,20757.4
2023-07-13,20757.4
2023-07-14,20757.4
2023-07-15,20757.4
2023-07-16,20757.4
2023-07-17,20747.1
2023-07-18,20747.1
2023-07-19,20747.1
2023-07-20,20747.1
2023-07-21,20747.1
2023-07-22,20747.1
2023-07-23,20747.1
2023-07-24,20635.3
2023-07-25,20635.3
2023-07-26,20635.3
2023-07-27,20635.3
2023-07-28,20635.3
2023-07-29,20635.3
2023-07-30,20635.3
2023-07-31,20677.4
2023-08-01,20677.4
2023-08-02,20677.4
2023-08-03,20677.4
2023-08-04,20677.4
2023-08-05,20677.4
2023-08-06,20677.4
2023-08-07,20731.5
2023-08-08,20731.5
2023-08-09,20731.5
2023-08-10,20731.5
2023-08-11,20731.5
2023-08-12,20731.5
2023-08-13,20731.5
2023-08-14,20711.1
2023-08-15,20711.1
2023-08-16,20711.1
2023-08-17,20711.1
2023-08-18,20711.1
2023-08-19,20711.1
2023-08-20,20711.1
2023-08-21,20650.6
2023-08-22,20650.6
2023-08-23,20650.6
2023-08-24,20650.6
2023-08-25,20650.6
2023-08-26,20650.6
2023-08-27,20650.6
2023-08-28,20622.9
2023-08-29,20622.9
2023-08-30,20622.9
2023-08-31,20622.9
2023-09-01,20622.9
2023-09-02,20622.9
2023-09-03,20622.9
2023-09-04,20706.8
2023-09-05,20706.8
2023-09-06,20706.8
2023-09-07,20706.8
2023-09-08,20706.8
2023-09-09,20706.8
2023-09-10,20706.8
2023-09-11,20702.8
2023-09-12,20702.8
2023-09-13,20702.8
2023-09-14,20702.8
2023-09-15,20702.8
2023-09-16,20702.8
2023-09-17,20702.8
2023-09-18,20672.8
2023-09-19,20672.8
2023-09-20,20672.8
2023-09-21,20672.8
2023-09-22,20672.8
2023-09-23,20672.8
2023-09-24,20672.8
2023-09-25,20567.9
2023-09-26,20567.9
2023-09-27,20567.9
2023-09-28,20567.9
2023-09-29,20567.9
2023-09-30,20567.9
2023-10-01,20567.9
2023-10-02,20664.7
2023-10-03,20664.7
2023-10-04,20664.7
2023-10-05,20664.7
