Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,"13,547.29","13,585.08","13,401.39","13,411.96","13,411.96","4,946,680,000"
2022-04-12,"13,584.69","13,685.95","13,317.74","13,371.57","13,371.57","4,991,720,000"
2022-04-13,"13,373.12","13,679.43","13,353.66","13,643.59","13,643.59","4,909,720,000"
2022-04-14,"13,647.43","13,662.93","13,345.22","13,351.08","13,351.08","4,642,240,000"
2022-04-18,"13,319.39","13,414.27","13,222.03","13,332.36","13,332.36","4,365,230,000"
2022-04-19,"13,312.44","13,643.97","13,281.22","13,619.66","13,619.66","4,562,840,000"
2022-04-20,"13,665.38","13,678.55","13,426.13","13,453.07","13,453.07","4,678,930,000"
2022-04-21,"13,623.70","13,710.70","13,140.83","13,174.65","13,174.65","5,233,110,000"
2022-04-22,"13,168.80","13,212.60","12,828.02","12,839.29","12,839.29","4,475,090,000"
2022-04-25,"12,749.17","13,011.45","12,722.59","13,004.85","13,004.85","4,845,160,000"
2022-04-26,"12,918.04","12,918.04","12,490.74","12,490.74","12,490.74","5,168,160,000"
2022-04-27,"12,500.88","12,703.79","12,430.90","12,488.93","12,488.93","4,810,720,000"
2022-04-28,"12,712.86","12,948.52","12,487.86","12,871.53","12,871.53","5,067,150,000"
2022-04-29,"12,710.42","12,861.83","12,315.74","12,334.64","12,334.64","4,733,070,000"
2022-05-02,"12,331.69","12,542.54","12,202.41","12,536.02","12,536.02","4,918,240,000"
2022-05-03,"12,511.46","12,645.83","12,460.99","12,563.76","12,563.76","4,547,280,000"
2022-05-04,"12,574.73","12,985.01","12,367.02","12,964.86","12,964.86","5,498,050,000"
2022-05-05,"12,787.52","12,787.52","12,183.56","12,317.69","12,317.69","5,308,920,000"
2022-05-06,"12,246.83","12,358.42","11,990.15","12,144.66","12,144.66","5,324,480,000"
2022-05-09,"11,923.03","11,990.61","11,574.94","11,623.25","11,623.25","5,939,140,000"
2022-05-10,"11,900.34","11,944.94","11,566.28","11,737.67","11,737.67","6,218,260,000"
2022-05-11,"11,645.57","11,844.51","11,339.18","11,364.24","11,364.24","6,152,370,000"
2022-05-12,"11,199.25","11,547.33","11,108.76","11,370.96","11,370.96","6,679,470,000"
2022-05-13,"11,555.97","11,856.71","11,510.26","11,805.00","11,805.00","5,894,020,000"
2022-05-16,"11,727.14","11,804.59","11,627.53","11,662.79","11,662.79","4,930,250,000"
2022-05-17,"11,905.57","11,988.43","11,754.28","11,984.52","11,984.52","5,093,960,000"
2022-05-18,"11,790.68","11,826.22","11,381.69","11,418.15","11,418.15","5,064,120,000"
2022-05-19,"11,364.40","11,562.82","11,313.31","11,388.50","11,388.50","5,154,410,000"
2022-05-20,"11,542.67","11,552.21","11,035.69","11,354.62","11,354.62","5,434,370,000"
2022-05-23,"11,396.28","11,552.07","11,304.56","11,535.27","11,535.27","4,552,200,000"
2022-05-24,"11,326.44","11,351.61","11,092.48","11,264.45","11,264.45","4,724,430,000"
2022-05-25,"11,225.03","11,511.90","11,211.85","11,434.74","11,434.74","4,519,690,000"
2022-05-26,"11,409.84","11,796.97","11,406.16","11,740.65","11,740.65","4,672,620,000"
2022-05-27,"11,869.69","12,131.66","11,856.82","12,131.13","12,131.13","4,793,900,000"
2022-05-31,"12,137.54","12,190.08","11,942.50","12,081.39","12,081.39","6,045,500,000"
2022-06-01,"12,176.89","12,237.94","11,901.43","11,994.46","11,994.46","4,719,900,000"
2022-06-02,"11,945.57","12,320.12","11,901.45","12,316.90","12,316.90","4,445,840,000"
2022-06-03,"12,097.12","12,167.44","11,966.62","12,012.73","12,012.73","4,130,040,000"
