time,USD
2022/3/2,"1,928.50"
2022/3/3,"1,929.60"
2022/3/4,"1,945.30"
2022/3/7,"1,981.00"
2022/3/8,"2,039.10"
2022/3/9,"1,988.90"
2022/3/10,"1,996.60"
2022/3/11,"1,978.70"
2022/3/14,"1,954.10"
2022/3/15,"1,913.70"
2022/3/16,"1,913.20"
2022/3/17,"1,949.70"
2022/3/18,"1,935.80"
2022/3/21,"1,935.10"
2022/3/22,"1,915.30"
2022/3/23,"1,931.80"
2022/3/24,"1,965.20"
2022/3/25,"1,953.80"
2022/3/28,"1,937.10"
2022/3/29,"1,910.00"
2022/3/30,"1,933.90"
2022/3/31,"1,942.20"
2022/4/1,"1,929.40"
2022/4/4,"1,930.30"
2022/4/5,"1,944.10"
2022/4/6,"1,930.20"
2022/4/7,"1,932.40"
2022/4/8,"1,941.40"
2022/4/11,"1,951.60"
2022/4/12,"1,960.90"
2022/4/13,"1,976.80"
2022/4/14,"1,963.30"
2022/4/15,"1,963.30"
2022/4/18,"1,963.30"
2022/4/19,"1,964.00"
2022/4/20,"1,949.60"
2022/4/21,"1,943.70"
2022/4/22,"1,941.60"
2022/4/25,"1,895.00"
2022/4/26,"1,904.60"
2022/4/27,"1,885.80"
2022/4/28,"1,888.50"
2022/4/29,"1,911.30"
2022/5/2,"1,911.30"
2022/5/3,"1,869.70"
2022/5/4,"1,863.70"
2022/5/5,"1,892.30"
2022/5/6,"1,882.40"
2022/5/9,"1,860.90"
2022/5/10,"1,857.40"
2022/5/11,"1,852.00"
2022/5/12,"1,837.10"
2022/5/13,"1,811.60"
2022/5/16,"1,809.50"
2022/5/17,"1,825.00"
2022/5/18,"1,810.70"
2022/5/19,"1,844.00"
2022/5/20,"1,834.20"
2022/5/23,"1,856.20"
2022/5/24,"1,867.10"
2022/5/25,"1,847.20"
2022/5/26,"1,848.30"
2022/5/27,"1,851.80"
2022/5/30,"1,855.00"
2022/5/31,"1,838.70"
2022/6/1,"1,844.90"
2022/6/2,"1,844.90"
2022/6/3,"1,844.90"
2022/6/6,"1,847.20"
2022/6/7,"1,849.60"
2022/6/8,"1,853.00"
2022/6/9,"1,844.90"
2022/6/10,"1,830.00"
2022/6/13,"1,830.90"
2022/6/14,"1,818.30"
2022/6/15,"1,823.80"
2022/6/16,"1,826.50"
2022/6/17,"1,841.60"
2022/6/20,"1,836.50"
2022/6/21,"1,840.30"
2022/6/22,"1,841.90"
2022/6/23,"1,841.90"
2022/6/24,"1,825.50"
2022/6/27,"1,826.30"
2022/6/28,"1,819.10"
2022/6/29,"1,817.80"
2022/6/30,"1,817.00"
2022/7/1,"1,797.50"
2022/7/4,"1,808.40"
2022/7/5,"1,772.00"
2022/7/6,"1,754.30"
2022/7/7,"1,748.00"
2022/7/8,"1,738.20"
2022/7/11,"1,740.00"
2022/7/12,"1,730.70"
2022/7/13,"1,724.60"
2022/7/14,"1,700.70"
2022/7/15,"1,706.20"
2022/7/18,"1,719.10"
2022/7/19,"1,713.10"
2022/7/20,"1,709.30"
2022/7/21,"1,705.10"
2022/7/22,"1,737.00"
2022/7/25,"1,718.90"
2022/7/26,"1,720.10"
2022/7/27,"1,714.10"
2022/7/28,"1,753.50"
2022/7/29,"1,753.40"
2022/8/1,"1,772.40"
2022/8/2,"1,779.80"
2022/8/3,"1,761.30"
2022/8/4,"1,783.20"
2022/8/5,"1,773.30"
2022/8/8,"1,784.10"
2022/8/9,"1,795.30"
2022/8/10,"1,795.10"
2022/8/11,"1,796.70"
2022/8/12,"1,792.10"
2022/8/15,"1,776.60"
2022/8/16,"1,774.90"
2022/8/17,"1,767.20"
2022/8/18,"1,765.60"
2022/8/19,"1,750.80"
2022/8/22,"1,733.30"
2022/8/23,"1,746.60"
2022/8/24,"1,745.70"
2022/8/25,"1,753.60"
2022/8/26,"1,751.30"
2022/8/29,"1,751.30"
2022/8/30,"1,730.30"
2022/8/31,"1,715.90"
2022/9/1,"1,694.30"
2022/9/2,"1,712.50"
2022/9/5,"1,711.00"
2022/9/6,"1,702.60"
2022/9/7,"1,702.70"
2022/9/8,"1,709.40"
2022/9/9,"1,713.40"
2022/9/12,"1,726.40"
2022/9/13,"1,704.90"
2022/9/14,"1,703.90"
2022/9/15,"1,689.10"
2022/9/16,"1,664.70"
2022/9/19,"1,664.70"
2022/9/20,"1,664.20"
2022/9/21,"1,671.80"
2022/9/22,"1,671.90"
2022/9/23,"1,643.60"
2022/9/26,"1,643.40"
2022/9/27,"1,634.30"
2022/9/28,"1,652.20"
2022/9/29,"1,654.80"
2022/9/30,"1,671.80"
2022/10/3,"1,668.40"
2022/10/4,"1,714.90"
2022/10/5,"1,700.50"
2022/10/6,"1,714.20"
2022/10/7,"1,696.20"
2022/10/10,"1,676.60"
2022/10/11,"1,664.70"
2022/10/12,"1,670.70"
2022/10/13,"1,648.10"
2022/10/14,"1,649.30"
2022/10/17,"1,664.80"
2022/10/18,"1,653.00"
2022/10/19,"1,631.70"
2022/10/20,"1,635.30"
2022/10/21,"1,643.30"
2022/10/24,"1,649.20"
2022/10/25,"1,659.30"
2022/10/26,"1,666.80"
2022/10/27,"1,659.80"
2022/10/28,"1,648.10"
2022/10/31,"1,639.00"
2022/11/1,"1,645.30"
2022/11/2,"1,649.60"
2022/11/3,"1,628.80"
2022/11/4,"1,674.40"
2022/11/7,"1,679.00"
2022/11/8,"1,678.70"
2022/11/9,"1,715.30"
2022/11/10,"1,744.80"
